I	beta(I)
0.605	1.6557
0.606	1.6562
0.607	1.6567
0.608	1.6572
0.609	1.6576
0.61	1.658
0.611	1.6584
0.612	1.6587
0.613	1.659
0.614	1.6593
0.615	1.6595
0.616	1.6597
0.617	1.6599
0.618	1.6601
0.619	1.6602
0.62	1.6603
0.621	1.6604
0.622	1.6604
0.623	1.6604
0.624	1.6604
0.625	1.6603
0.626	1.6602
0.627	1.6601
0.628	1.66
0.629	1.6598
0.63	1.6596
0.631	1.6594
0.632	1.6591
0.633	1.6588
0.634	1.6584
0.635	1.6581
0.636	1.6577
0.637	1.6573
0.638	1.6568
0.639	1.6563
0.64	1.6558
0.641	1.6553
0.642	1.6547
0.643	1.6541
0.644	1.6535
0.645	1.6528
0.646	1.6521
0.647	1.6514
0.648	1.6507
0.649	1.6499
0.65	1.6491
0.651	1.6482
0.652	1.6474
0.653	1.6464
0.654	1.6455
0.655	1.6446
0.656	1.6436
0.657	1.6425
0.658	1.6415
0.659	1.6404
0.66	1.6393
0.661	1.6382
0.662	1.637
0.663	1.6358
0.664	1.6346
0.665	1.6333
0.666	1.632
0.667	1.6307
0.668	1.6294
0.669	1.628
0.67	1.6266
0.671	1.6252
0.672	1.6237
0.673	1.6222
0.674	1.6207
0.675	1.6192
0.676	1.6176
0.677	1.616
0.678	1.6144
0.679	1.6127
0.68	1.611
0.681	1.6093
0.682	1.6076
0.683	1.6058
0.684	1.604
0.685	1.6022
0.686	1.6003
0.687	1.5985
0.688	1.5966
0.689	1.5946
0.69	1.5927
0.691	1.5907
0.692	1.5887
0.693	1.5866
0.694	1.5846
0.695	1.5825
0.696	1.5804
0.697	1.5782
0.698	1.576
0.699	1.5738
0.7	1.5716
0.701	1.5694
0.702	1.5671
0.703	1.5648
0.704	1.5625
0.705	1.5601
0.706	1.5578
0.707	1.5554
0.708	1.5529
0.709	1.5505
0.71	1.548
0.711	1.5455
0.712	1.543
0.713	1.5405
0.714	1.5379
0.715	1.5353
0.716	1.5327
0.717	1.53
0.718	1.5274
0.719	1.5247
0.72	1.522
0.721	1.5192
0.722	1.5165
0.723	1.5137
0.724	1.5109
0.725	1.5081
0.726	1.5053
0.727	1.5024
0.728	1.4995
0.729	1.4966
0.73	1.4937
0.731	1.4907
0.732	1.4878
0.733	1.4848
0.734	1.4818
0.735	1.4787
0.736	1.4757
0.737	1.4726
0.738	1.4695
0.739	1.4664
0.74	1.4633
0.741	1.4601
0.742	1.457
0.743	1.4538
0.744	1.4506
0.745	1.4473
0.746	1.4441
0.747	1.4408
0.748	1.4376
0.749	1.4343
0.75	1.431
0.751	1.4276
0.752	1.4243
0.753	1.4209
0.754	1.4175
0.755	1.4141
0.756	1.4107
0.757	1.4073
0.758	1.4039
0.759	1.4004
0.76	1.3969
0.761	1.3934
0.762	1.3899
0.763	1.3864
0.764	1.3829
0.765	1.3793
0.766	1.3758
0.767	1.3722
0.768	1.3686
0.769	1.365
0.77	1.3614
0.771	1.3577
0.772	1.3541
0.773	1.3504
0.774	1.3467
0.775	1.3431
0.776	1.3394
0.777	1.3357
0.778	1.3319
0.779	1.3282
0.78	1.3245
0.781	1.3207
0.782	1.317
0.783	1.3132
0.784	1.3094
0.785	1.3056
0.786	1.3018
0.787	1.298
0.788	1.2942
0.789	1.2904
0.79	1.2865
0.791	1.2827
0.792	1.2788
0.793	1.2749
0.794	1.2711
0.795	1.2672
0.796	1.2633
0.797	1.2594
0.798	1.2555
0.799	1.2516
0.8	1.2477
0.801	1.2437
0.802	1.2398
0.803	1.2359
0.804	1.2319
0.805	1.228
0.806	1.224
0.807	1.2201
0.808	1.2161
0.809	1.2121
0.81	1.2082
0.811	1.2042
0.812	1.2002
0.813	1.1962
0.814	1.1922
0.815	1.1882
0.816	1.1842
0.817	1.1802
0.818	1.1762
0.819	1.1722
0.82	1.1682
0.821	1.1642
0.822	1.1602
0.823	1.1562
0.824	1.1522
0.825	1.1481
0.826	1.1441
0.827	1.1401
0.828	1.1361
0.829	1.1321
0.83	1.128
0.831	1.124
0.832	1.12
0.833	1.116
0.834	1.1119
0.835	1.1079
0.836	1.1039
0.837	1.0999
0.838	1.0959
0.839	1.0919
0.84	1.0878
0.841	1.0838
0.842	1.0798
0.843	1.0758
0.844	1.0718
0.845	1.0678
0.846	1.0638
0.847	1.0598
0.848	1.0558
0.849	1.0518
0.85	1.0478
0.851	1.0438
0.852	1.0398
0.853	1.0358
0.854	1.0319
0.855	1.0279
0.856	1.0239
0.857	1.02
0.858	1.016
0.859	1.012
0.86	1.0081
0.861	1.0042
0.862	1.0002
0.863	0.9963
0.864	0.9923
0.865	0.9884
0.866	0.9845
0.867	0.9806
0.868	0.9767
0.869	0.9728
0.87	0.9689
0.871	0.965
0.872	0.9611
0.873	0.9572
0.874	0.9533
0.875	0.9495
0.876	0.9456
0.877	0.9418
0.878	0.9379
0.879	0.9341
0.88	0.9303
0.881	0.9264
0.882	0.9226
0.883	0.9188
0.884	0.915
0.885	0.9112
0.886	0.9074
0.887	0.9036
0.888	0.8999
0.889	0.8961
0.89	0.8923
0.891	0.8886
0.892	0.8848
0.893	0.8811
0.894	0.8774
0.895	0.8737
0.896	0.8699
0.897	0.8662
0.898	0.8625
0.899	0.8588
0.9	0.8552
0.901	0.8515
0.902	0.8478
0.903	0.8442
0.904	0.8405
0.905	0.8369
0.906	0.8332
0.907	0.8296
0.908	0.826
0.909	0.8224
0.91	0.8188
0.911	0.8152
0.912	0.8116
0.913	0.808
0.914	0.8044
0.915	0.8009
0.916	0.7973
0.917	0.7937
0.918	0.7902
0.919	0.7867
0.92	0.7831
0.921	0.7796
0.922	0.7761
0.923	0.7726
0.924	0.7691
0.925	0.7656
0.926	0.7621
0.927	0.7586
0.928	0.7551
0.929	0.7516
0.93	0.7481
0.931	0.7447
0.932	0.7412
0.933	0.7377
0.934	0.7343
0.935	0.7308
0.936	0.7274
0.937	0.724
0.938	0.7205
0.939	0.7171
0.94	0.7137
0.941	0.7102
0.942	0.7068
0.943	0.7034
0.944	0.7
0.945	0.6965
0.946	0.6931
0.947	0.6897
0.948	0.6863
0.949	0.6829
0.95	0.6795
0.951	0.6761
0.952	0.6726
0.953	0.6692
0.954	0.6658
0.955	0.6624
0.956	0.659
0.957	0.6556
0.958	0.6521
0.959	0.6487
0.96	0.6453
0.961	0.6419
0.962	0.6384
0.963	0.635
0.964	0.6316
0.965	0.6281
0.966	0.6247
0.967	0.6212
0.968	0.6177
0.969	0.6143
0.97	0.6108
0.971	0.6073
0.972	0.6038
0.973	0.6003
0.974	0.5968
0.975	0.5932
0.976	0.5897
0.977	0.5862
0.978	0.5826
0.979	0.579
0.98	0.5754
0.981	0.5718
0.982	0.5682
0.983	0.5646
0.984	0.561
0.985	0.5573
0.986	0.5536
0.987	0.5499
0.988	0.5462
0.989	0.5425
0.99	0.5387
0.991	0.535
0.992	0.5312
0.993	0.5274
0.994	0.5235
0.995	0.5197
0.996	0.5158
0.997	0.5119
0.998	0.5079
0.999	0.504
1.0	0.5
